variant,model,n_paths,n_steps,mean,shortfall_prob,exp_shortfall,cvar05,CE,q_shortfall,repl_err_mean,repl_err_max
base,es,10000,120,1.0159530514239181,0.2409,0.03253623777995699,0.7092549402137674,0.9850422413112765,0.1023948045878361,0.0027445117680776326,0.0518494937645384
base,var,10000,120,1.0713237813818828,0.1004,0.03653020835409431,0.5884603445027788,0.9916771525890019,0.12696802344057762,0.003455364535016468,0.27938255432417725
N x2,es,20000,120,1.0158698374912984,0.24405,0.032336314495416234,0.7122405812086529,0.9854572758463584,0.10074217882463264,0.00274428980023367,0.0518494937645384
N x2,var,20000,120,1.070572482046749,0.0998,0.036069777334412,0.5909374951418459,0.9921570352086531,0.12433201154547563,0.003459166168234181,0.3035888762233939
steps x2,es,10000,240,1.0160706973947542,0.2406,0.03150920798237319,0.7163792743560472,0.9866587204893424,0.09712091568623786,0.0019315168446557254,0.030116652026388135
steps x2,var,10000,240,1.0708928882870288,0.0966,0.034838526678655925,0.5943713193667048,0.9946337985199417,0.11929530857167052,0.0024310299331695815,0.23808992265002482
