value,r_tilde,sigma_Y,eps_min,eps_M,feasible,binding,Y0,k_eps,c,A0,tot_es,Y0_var,k_alpha,A0_var,tot_var,alpha_min,merton_total,status,param,baseline
0.04,0.0,0.07840161802211558,0.0,0.09865609638214878,True,False,1.0,1.0,1.0,1.0,0.8043367642279668,0.9740586076371863,0.8266734065615681,0.9457757375752702,0.7607221964466115,0.0,0.8043367642279668,Slack,delta_L,False
0.043,-0.0029999999999999957,0.07840161802211558,0.030454533953516716,0.11611416668133162,True,True,0.9659699271241893,0.9340597357520467,1.0705953395955585,0.8906155593575021,0.7163548371846941,0.959405666516188,0.7901732498103653,0.9254707258318934,0.744390129003333,0.004254631975255885,0.8043367642279668,Binding,delta_L,False
0.046,-0.005999999999999998,0.07840161802211558,0.06183654654535964,0.1355722539629367,True,True,0.905743711697364,0.8444510943355814,1.184201200883996,0.7401332713349338,0.5953164005630005,0.9387544187511129,0.7503142657290824,0.9048444563116048,0.7277996621192901,0.010346397391975293,0.8043367642279668,Binding,delta_L,False
0.0484,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,0.5804028160441681,0.466839323005766,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,delta_L,True
0.052,-0.011999999999999997,0.07840161802211558,0.12749685157937551,0.18067229614954328,False,True,nan,nan,nan,nan,nan,0.867312362770099,0.6528434895934718,0.8842579985094053,0.7112412172637534,0.02534497785663581,0.8043367642279668,Infeasible,delta_L,False
