value,r_tilde,sigma_Y,eps_min,eps_M,feasible,binding,Y0,k_eps,c,A0,tot_es,Y0_var,k_alpha,A0_var,tot_var,alpha_min,merton_total,status,param
2.0,-0.008399999999999998,0.11760242703317338,0.0876288938088261,0.20165381280599515,True,True,0.6554837113282471,0.5199932368748555,1.9231019349597147,0.4315736706193788,0.5206958546279662,0.8984895367637583,0.6311678628968189,0.8693060734145749,1.0488222513209977,0.015974856104268853,1.20650514634195,Binding,GAMMA
3.0,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,0.5804028160441681,0.466839323005766,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,GAMMA
5.0,-0.008399999999999998,0.04704097081326935,0.0876288938088261,0.11529107092098667,True,True,0.9366135879225645,0.91540705519328,1.0924101953626073,0.8112222145835215,0.39149751068877303,0.9133712951075732,0.7666892643501078,0.9378026232650748,0.4525854764889175,0.015974856104268853,0.48260205853678007,Binding,GAMMA
8.0,-0.008399999999999998,0.029400606758293344,0.0876288938088261,0.0972982572735942,True,False,1.0,1.0,1.0,1.0,0.3016262865854875,0.8830831630034147,0.7690065691485672,1.1785853814423828,0.35549233202840624,0.015974856104268853,0.3016262865854875,Slack,GAMMA
0.09,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.6798310480080264,0.6023068203011357,1.6602833743440417,0.46871632097388793,0.3770057689529741,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,epsilon
0.1,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,0.5804028160441681,0.466839323005766,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,epsilon
0.11,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.8619649491933093,0.7968628492875901,1.254921095761985,0.6760898319418327,0.5438039077515237,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,epsilon
0.12,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.9041459554388606,0.8524444670008218,1.1730969449755793,0.7623373308728714,0.6131759419644703,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,epsilon
0.135,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.9534502511540925,0.9243968482880681,1.0817864663341774,0.8787542495358212,0.7068143496232178,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,epsilon
0.15,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.993624462877195,0.9891788161980327,1.010939562821977,0.9829237781476488,0.7906017311980077,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,epsilon
0.01,0.0020000000000000018,0.08276760728836433,0.0,0.09348712103687484,True,False,1.0,1.0,1.0,1.0,-0.1531476788246161,0.9823473983786543,0.8504631773610635,0.9633280723598083,-0.14753145822849648,0.0,-0.1531476788246161,Slack,MU_I
0.015,-0.001999999999999995,0.0751793173989362,0.020201340026755776,0.10601361860114422,True,True,0.9880635909759724,0.9757260582738451,1.0248778245905392,0.958796647803233,0.20625208597125153,0.9632561472111105,0.8018682056610523,0.9255749245822272,0.19910557609390556,0.002793507278823437,0.21511556850330077,Binding,MU_I
0.023,-0.008399999999999998,0.07840161802211558,0.0876288938088261,0.15261352806023454,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,0.5804028160441681,0.466839323005766,0.9162058826666714,0.7149262079955382,0.8908526045391871,0.7165455013391063,0.015974856104268853,0.8043367642279668,Binding,MU_I
0.03,-0.013999999999999999,0.09495048220452712,0.15027379885722736,0.21701067260455742,False,True,nan,nan,nan,nan,nan,0.8913977550227129,0.6607543860971573,0.9191794862965722,1.2132298852536045,0.02147777362348713,1.3199053104870504,Infeasible,MU_I
5.0,-0.008399999999999998,0.07840161802211558,0.04289447875076324,0.09482716858814311,True,False,1.0,1.0,1.0,1.0,0.8043367642279668,0.9331236112618477,0.7717821488622898,0.844015767377622,0.6788729112899008,0.011797748772477412,0.8043367642279668,Slack,T
