strategy,mean,mean_se,std,std_se,median,median_se,q05,q05_se,q95,q95_se,min,min_se,shortfall_prob,shortfall_prob_se,exp_shortfall,exp_shortfall_se,cond_shortfall,cond_shortfall_se,cvar05,cvar05_se,CE,CE_se,ce_loss_pct,q_shortfall,q_shortfall_se,repl_err_mean,repl_err_max
Merton,1.1097228706773599,0.00296122297375127,0.2807026802005695,0.002671728305903453,1.0786248512748116,0.0037459806185254916,0.7083404098159746,0.0037734491827275465,1.623296265241477,0.009730387679334741,0.3694218877032493,0.04216647765832202,0.3756,0.0048650748263651886,0.058588331418973204,0.0010124838194869948,0.15598597289396485,0.0018026247361326451,0.6422795963610606,0.003755361292101742,1.010526729082565,0.0027537052784024543,0.0,0.15402961763738157,0.004177236177588145,4.042664733734325e-16,4.884981308350689e-15
ES (eps=0.1),1.0159530514239181,0.0015728975058954297,0.1500289727207215,0.0022990126645678825,1.0,0.0,0.7822044135629079,0.004166935225185949,1.3041887588072847,0.00781758850922848,0.4079442977187968,0.04656349471479416,0.2409,0.00432461703101325,0.03253623777995699,0.000762126878046187,0.13506117799899126,0.002059805939089219,0.7092549402137674,0.004146961173609216,0.9850422413112765,0.0015524656980335971,2.52190140427313,0.1023948045878361,0.0035446038350107705,0.0027445117680776326,0.0518494937645384
VaR (alpha=0.1),1.0713237813818828,0.0023964242680983515,0.2270022191485786,0.002633221047052251,1.0,0.0,0.6489856504039166,0.0034572563391587164,1.4872735875250787,0.008915038432433782,0.3384665066995434,0.03863317488188743,0.1004,0.003053629785966118,0.03653020835409431,0.0011218186575774364,0.3638466967539274,0.0019015800487749315,0.5884603445027788,0.0034406841073623237,0.9916771525890019,0.0028778716129401307,1.8653219109479895,0.12696802344057762,0.00469894535982886,0.003455364535016468,0.27938255432417725
VaR equal-CE (alpha=0.0812),1.0572902167505618,0.0022004126372908474,0.21152162493066534,0.0026310614923268196,1.0,0.0,0.6294031776578286,0.0033529371943583973,1.4423966407458084,0.008646036341209097,0.328253628897419,0.03746745866959741,0.0847,0.0028531310298243744,0.033494989791816906,0.001129551248778711,0.3954544249329033,0.001941360206181776,0.570704160446618,0.0033368650125666483,0.9827812952053143,0.0028821696951355598,2.74564077116893,0.12194974947433572,0.004821765113939747,0.0041037022154742295,0.28748906716544764
VaR threshold-matched (alpha=0.1067),1.0749116350413321,0.0024582785943943314,0.23179294780945608,0.0026321004016662077,1.0,0.0011313235610356802,0.6544040306820639,0.0034861209674489422,1.499690832605674,0.008989470075708429,0.34129236308569433,0.03895572320438413,0.1074,0.0031494375297038374,0.037925502792046754,0.001124319325015996,0.3531238621233404,0.001910084072551872,0.5933733990874852,0.003469410374112697,0.9934676886599176,0.0028764457808802446,1.6881335180648724,0.12935811304241543,0.004665100679796166,0.003247458045358289,0.2412837534448632
