strategy,mean,std,prob_shortfall,exp_shortfall,cond_shortfall,q5,bottom5_mean,ce,atom_mass,ce_exact,ce_loss_pct_mc,ce_loss_pct_exact,atom_mass_exact
Merton,1.1061544826803036,0.278438104624766,0.3889,0.05926435581063409,0.15238970380723602,0.7137282305919909,0.6462393269475658,1.0087902112812288,0.0,1.0082359358735984,0.0,0.0,0.0
ES (eps=0.1),1.01547696979749,0.14694395272246474,0.247346,0.03236347398859193,0.13084292444022513,0.7881540630987585,0.713627581811455,0.9856750549119568,0.478075,0.9853017745109427,2.2913739755577356,2.2746820011710955,0.4784457375053126
VaR (alpha=0.1),1.0702999635541257,0.22379640405193912,0.099564,0.03592402440818049,0.36081339046422894,0.6539220034936566,0.5920882729599103,0.9927728577048938,0.428345,0.9921317397616704,1.5877784495937934,1.597264642027896,0.42868787691904403
VaR equal-CE (alpha=0.08118),1.0576473526595203,0.20720754186996554,0.080685,0.03187337084931179,0.39503465141366784,0.6341905813836114,0.5742226199037916,0.985996237530348,0.496474,0.9853017745109423,2.259535579942925,2.2746820011711395,0.4963412229814211
VaR threshold-matched (alpha=0.10666),1.0738450205952,0.228551882011514,0.106344,0.03726240930937662,0.3503950322479559,0.6593815973767744,0.5970316171141785,0.994554010487038,0.408258,0.9939703059168882,1.411215199650873,1.4149098885619051,0.40866753334883527
