param_name,param_value,F,pi_S_es,pi_I_es,total_es,pi_S_var,pi_I_var,total_var,A_es,A_var
mu_I,0.050000,0.900000,0.179197,0.742885,0.922082,0.543851,2.254602,2.798453,0.330145,1.001967
mu_I,0.050000,1.000000,0.214506,0.889263,1.103769,0.541828,2.246215,2.788043,0.395197,0.998240
T,5,0.700000,0.171754,0.147167,0.318921,0.410977,0.352143,0.763120,0.396502,0.948757
T,5,0.800000,0.193489,0.165790,0.359279,0.366106,0.313697,0.679803,0.446677,0.845172
T,5,0.900000,0.251305,0.215329,0.466634,0.359292,0.307858,0.667150,0.580148,0.829441
T,5,1.000000,0.341402,0.292528,0.633930,0.386278,0.330981,0.717259,0.788140,0.891740
T,10,0.700000,0.139634,0.119645,0.259280,0.410597,0.351818,0.762415,0.322352,0.947880
T,10,0.800000,0.168024,0.143971,0.311995,0.386147,0.330868,0.717015,0.387891,0.891436
T,10,0.900000,0.217287,0.186181,0.403468,0.384391,0.329363,0.713754,0.501616,0.887382
T,10,1.000000,0.281324,0.241051,0.522375,0.398557,0.341502,0.740059,0.649449,0.920085
T,15,0.700000,0.124337,0.106538,0.230875,0.420766,0.360531,0.781297,0.287038,0.971356
T,15,0.800000,0.152381,0.130567,0.282948,0.402310,0.344717,0.747027,0.351778,0.928750
T,15,0.900000,0.194406,0.166576,0.360982,0.399613,0.342406,0.742019,0.448795,0.922523
T,15,1.000000,0.245886,0.210686,0.456573,0.407408,0.349086,0.756494,0.567639,0.940519
T,20,0.700000,0.113776,0.097488,0.211264,0.430733,0.369072,0.799805,0.262656,0.994366
T,20,0.800000,0.140064,0.120013,0.260077,0.414484,0.355149,0.769633,0.323343,0.956854
T,20,0.900000,0.176671,0.151379,0.328050,0.410360,0.351615,0.761976,0.407851,0.947334
T,20,1.000000,0.220259,0.188728,0.408987,0.414254,0.354951,0.769205,0.508477,0.956322
rho,-0.300000,0.700000,0.151744,0.181794,0.333537,0.453444,0.543240,0.996684,0.317199,0.947860
